reported_at,user_did,content_category,expression_category,post_uri
2025-12-01 02:50:50.707273+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,ネコ,喜び,at://did:plc:ti4osbreyfp2gh3msg5kmzuk/app.bsky.feed.post/3m6uhpe227s2j
2025-12-01 02:48:30.987744+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,就職、転職,平穏,at://did:plc:g2zwnv33gkq5fc5hji3ozvqi/app.bsky.feed.post/3m6uhqn2cfs2t
2025-12-01 02:45:32.466623+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,ユーモア、ネタ,平穏,at://did:plc:ghnctm7y4klaf7qmek2ru76l/app.bsky.feed.post/3m6txqnhu6k2d
2025-12-01 02:45:12.228587+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,ユーモア、ネタ,喜び,at://did:plc:ghnctm7y4klaf7qmek2ru76l/app.bsky.feed.post/3m6to544egc23
2025-12-01 02:44:36.003377+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,生き方、人生相談,悲しみ,at://did:plc:ghnctm7y4klaf7qmek2ru76l/app.bsky.feed.post/3m6t3vnmqds2i
2025-12-01 02:44:28.083252+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,生き方、人生相談,悲痛,at://did:plc:ghnctm7y4klaf7qmek2ru76l/app.bsky.feed.post/3m6t3cy7oas2i
2025-12-01 02:44:13.053160+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,生き方、人生相談,悲しみ,at://did:plc:ghnctm7y4klaf7qmek2ru76l/app.bsky.feed.post/3m6t2t5cacs2i
2025-12-01 02:44:04.847977+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,ファッション,喜び,at://did:plc:ghnctm7y4klaf7qmek2ru76l/app.bsky.feed.post/3m6t2pux3rk2i
2025-12-01 02:43:52.172738+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,ユーモア、ネタ,喜び,at://did:plc:ghnctm7y4klaf7qmek2ru76l/app.bsky.feed.post/3m6tycqeahc2d
2025-12-01 02:43:34.833167+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,生き方、人生相談,悲しみ,at://did:plc:wucjqeph6jkjosdpnw4qvj3e/app.bsky.feed.post/3m6u2l3f2fc2e
2025-12-01 02:43:15.100914+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,生き方、人生相談,悲しみ,at://did:plc:ghnctm7y4klaf7qmek2ru76l/app.bsky.feed.post/3m6u6zqx7yk2j
2025-12-01 02:22:51.924159+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,アダルト,興味,at://did:plc:vawkfl37jxnmwdv236s3cf2u/app.bsky.feed.post/3m6ug7bmtb222
2025-12-01 02:22:01.450952+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,アダルト,興味,at://did:plc:pspsq2vnlw7dib7rll25xw53/app.bsky.feed.post/3m6ug7wl5hc2m
2025-12-01 02:18:43.946618+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,X（旧Twitter）,憂い,at://did:plc:tjh3spszjcm7qmfadnbvpwqe/app.bsky.feed.post/3m6ufvpyqek2m
2025-12-01 02:17:09.399409+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,病気、症状,悲しみ,at://did:plc:ism3ojpiulaoot3abmozapam/app.bsky.feed.post/3m6ufwcdrjk2i
2025-12-01 02:11:43.472752+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,コミック,平穏,at://did:plc:orkqbvuubeiqrogzv6ewjz4c/app.bsky.feed.post/3m6ufmqsrbc23
2025-12-01 01:50:37.280090+00:00,did:plc:kpcbg67f3pwzh7t6vjmm6gqw,雑談,憂い,at://did:plc:x725xb3yylic4xfp474k2lts/app.bsky.feed.post/3m6ue7ycfo224
